puzzle_name,size,algorithm,heuristic,status,solution_length,time_taken,space_used,nodes_expanded
Easy 4x4 Puzzle,4,bfs,,Path found,1,3.3e-05,3,1
Easy 4x4 Puzzle,4,bi_bfs,,Path found,1,5e-05,4,1
Easy 4x4 Puzzle,4,dfs,,Path found,1,2.3e-05,3,1
Easy 4x4 Puzzle,4,ids,,Path found,1,4.9e-05,1,1
Easy 4x4 Puzzle,4,ucs,,Path found,1,0.007665,6,3
Simple 3x3 Puzzle,3,a_star,manhattan,Path found,2,7.4e-05,8,3
Simple 3x3 Puzzle,3,bfs,,Path found,2,7.4e-05,8,4
Simple 3x3 Puzzle,3,bi_bfs,,Path found,2,3.8e-05,5,2
Simple 3x3 Puzzle,3,dfs,,Path found,2,3.9e-05,6,3
Simple 3x3 Puzzle,3,ids,,Path found,2,5.2e-05,2,6
Simple 3x3 Puzzle,3,ucs,,Path found,2,0.000102,7,4
Test1 3x3 Puzzle,3,bfs,,Path found,6,0.000401,88,50
Test1 3x3 Puzzle,3,bi_bfs,,Path found,6,9.7e-05,28,13
Test1 3x3 Puzzle,3,dfs,,Path found,292,0.002943,533,298
Test1 3x3 Puzzle,3,ids,,Path found,6,0.000427,6,107
Test1 3x3 Puzzle,3,ucs,,Path found,6,0.000855,149,88
Unsolvable Puzzle,3,bfs,,Unsolvable,0,0,0,0
